row	cipher_position	symbol	literal	grade	basis
P1.C01	22	plo	to	M	Contextual 1640 supplement; no matched-control S claim; see key-1640-evidence.tsv
P1.C01	23	?		M	Unmapped source sign
P1.C02	1	en	se	M	Contextual 1640 supplement; no matched-control S claim; see key-1640-evidence.tsv
P1.C02	2	51	re	M	Contextual 1640 supplement; no matched-control S claim; see key-1640-evidence.tsv
P1.C02	3	47	ni	M	Contextual 1640 supplement; no matched-control S claim; see key-1640-evidence.tsv
P1.C02	4	25	s	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.C02	5	in	si	M	Contextual 1640 supplement; no matched-control S claim; see key-1640-evidence.tsv
P1.C02	6	ci	mi	M	Contextual 1640 supplement; no matched-control S claim; see key-1640-evidence.tsv
P1.C02	7	51	re	M	Contextual 1640 supplement; no matched-control S claim; see key-1640-evidence.tsv
P1.C02	8	it	gi	M	Contextual 1640 supplement; no matched-control S claim; see key-1640-evidence.tsv
P1.C02	9	26	s	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.C02	10	ap	ca	M	Contextual 1640 supplement; no matched-control S claim; see key-1640-evidence.tsv
P1.C02	11	plo	to	M	Contextual 1640 supplement; no matched-control S claim; see key-1640-evidence.tsv
P1.C02	12	42	li	M	Contextual 1640 supplement; no matched-control S claim; see key-1640-evidence.tsv
P1.C02	13	ip	ci	M	Contextual 1640 supplement; no matched-control S claim; see key-1640-evidence.tsv
P1.C02	14	ca	ma	M	Contextual 1640 supplement; no matched-control S claim; see key-1640-evidence.tsv
P1.C02	15	c	r	I	Image/context-assisted source-label amendment; see R1890-review.tsv
P1.C02	16	7	c	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.C02	17	gi	hi	M	Contextual 1640 supplement; no matched-control S claim; see key-1640-evidence.tsv
P1.C02	18	a	o	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.C02	19	ap	ca	M	Contextual 1640 supplement; no matched-control S claim; see key-1640-evidence.tsv
P1.C02	20	31	s	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.C02	21	pla	ta	M	Contextual 1640 supplement; no matched-control S claim; see key-1640-evidence.tsv
P1.C03	1	16	g	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.C03	2	46	ne	M	Contextual 1640 supplement; no matched-control S claim; see key-1640-evidence.tsv
P1.C03	3	pli	ti	M	Contextual 1640 supplement; no matched-control S claim; see key-1640-evidence.tsv
P1.C03	4	m	e	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.C03	5	t	a	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.C03	6	30	q	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.C03	7	23	u	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.C03	8	z	a	I	Image/context-assisted source-label amendment; see R1890-review.tsv
P1.C03	9	p	e	I	Image/context-assisted source-label amendment; see R1890-review.tsv
P1.C03	10	ip	ci	M	Contextual 1640 supplement; no matched-control S claim; see key-1640-evidence.tsv
P1.C03	11	c	r	I	Image/context-assisted source-label amendment; see R1890-review.tsv
P1.C03	12	ap	ca	M	Contextual 1640 supplement; no matched-control S claim; see key-1640-evidence.tsv
P1.C03	13	48	no	M	Contextual 1640 supplement; no matched-control S claim; see key-1640-evidence.tsv
P1.C03	14	y	u	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.C03	15	35	u	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.C03	16	d	m	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.C03	17	n	a	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.C03	18	g	p	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.C03	19	au	pa	M	Contextual 1640 supplement; no matched-control S claim; see key-1640-evidence.tsv
P1.C03	20	50	ra	M	Contextual 1640 supplement; no matched-control S claim; see key-1640-evidence.tsv
P1.C03	21	plu	tu	M	Contextual 1640 supplement; no matched-control S claim; see key-1640-evidence.tsv
P1.C03	22	d	m	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.C04	1	ci	mi	M	Contextual 1640 supplement; no matched-control S claim; see key-1640-evidence.tsv
P1.C04	2	42	li	M	Contextual 1640 supplement; no matched-control S claim; see key-1640-evidence.tsv
P1.C04	3	pli	ti	M	Contextual 1640 supplement; no matched-control S claim; see key-1640-evidence.tsv
P1.C04	4	26	s	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.C04	5	12	i	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.C04	6	22	n	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.C04	7	ip	ci	M	Contextual 1640 supplement; no matched-control S claim; see key-1640-evidence.tsv
P1.C04	8	c	r	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.C04	9	up	cu	M	Contextual 1640 supplement; no matched-control S claim; see key-1640-evidence.tsv
P1.C04	10	43	lo	M	Contextual 1640 supplement; no matched-control S claim; see key-1640-evidence.tsv
P1.C04	11	38	u	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.C04	12	m	e	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.C04	13	31	s	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.C04	14	37	t	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.C04	15	20	p	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.C04	16	ga	ha	I	Image/context-assisted source-label amendment; see R1890-review.tsv
P1.C04	17	42	li	M	Contextual 1640 supplement; no matched-control S claim; see key-1640-evidence.tsv
P1.C04	18	op	co	M	Contextual 1640 supplement; no matched-control S claim; see key-1640-evidence.tsv
P1.C04	19	t	a	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.C04	20	9	b	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.C05	1	m	e	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.C05	2	41	le	M	Contextual 1640 supplement; no matched-control S claim; see key-1640-evidence.tsv
P1.C05	3	7	c	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.C05	4	plo	to	M	Contextual 1640 supplement; no matched-control S claim; see key-1640-evidence.tsv
P1.C05	5	51	re	M	Contextual 1640 supplement; no matched-control S claim; see key-1640-evidence.tsv
P1.C05	6	op	co	M	Contextual 1640 supplement; no matched-control S claim; see key-1640-evidence.tsv
P1.C05	7	43	lo	M	Contextual 1640 supplement; no matched-control S claim; see key-1640-evidence.tsv
P1.C05	8	47	ni	M	Contextual 1640 supplement; no matched-control S claim; see key-1640-evidence.tsv
P1.C05	9	t	a	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.C05	10	m	e	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.C05	11	p	e	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.C05	12	34	t	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.C05	13	25	s	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.C05	14	pla	ta	M	Contextual 1640 supplement; no matched-control S claim; see key-1640-evidence.tsv
P1.C05	15	pli	ti	M	Contextual 1640 supplement; no matched-control S claim; see key-1640-evidence.tsv
P1.C05	16	tus	bu	M	Contextual 1640 supplement; no matched-control S claim; see key-1640-evidence.tsv
P1.C05	17	26	s	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.C05	18	12	i	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.C05	19	19	l	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.C06	1	42	li	M	Contextual 1640 supplement; no matched-control S claim; see key-1640-evidence.tsv
P1.C06	2	23	u	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.C06	3	31	s	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.C06	4	ip	ci	M	Contextual 1640 supplement; no matched-control S claim; see key-1640-evidence.tsv
P1.C06	5	c	r	I	Image/context-assisted source-label amendment; see R1890-review.tsv
P1.C06	6	up	cu	M	Contextual 1640 supplement; no matched-control S claim; see key-1640-evidence.tsv
P1.C06	7	42	li	M	Contextual 1640 supplement; no matched-control S claim; see key-1640-evidence.tsv
P1.C06	8	15	i	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.C06	9	22	n	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.C06	10	ep	ce	M	Contextual 1640 supplement; no matched-control S claim; see key-1640-evidence.tsv
P1.C06	11	20	p	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.C06	12	plu	tu	I	Image/context-assisted source-label amendment; see R1890-review.tsv
P1.C06	13	d	m	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.C06	14	n	a	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.C06	15	x	c	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.C06	16	33	q	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.C06	17	23	u	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.C06	18	n	a	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.C06	19	p	e	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.C06	20	24	i	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.C06	21	22	n	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.C07	1	he	de	M	Contextual 1640 supplement; no matched-control S claim; see key-1640-evidence.tsv
P1.C07	2	15	i	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.C07	3	22	n	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.C07	4	20	p	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.C07	5	q	r	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.C07	6	z	a	I	Image/context-assisted source-label amendment; see R1890-review.tsv
P1.C07	7	6	e	I	Image/context-assisted source-label amendment; see R1890-review.tsv
P1.C07	8	15	i	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.C07	9	35	u	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.C07	10	hi	di	M	Contextual 1640 supplement; no matched-control S claim; see key-1640-evidence.tsv
P1.C07	11	ip	ci	M	Contextual 1640 supplement; no matched-control S claim; see key-1640-evidence.tsv
P1.C07	12	y	u	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.C07	13	e	m	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.C07	14	tos	bo	M	Contextual 1640 supplement; no matched-control S claim; see key-1640-evidence.tsv
P1.C07	15	47	ni	M	Contextual 1640 supplement; no matched-control S claim; see key-1640-evidence.tsv
P1.C07	16	uu	pu	M	Contextual 1640 supplement; no matched-control S claim; see key-1640-evidence.tsv
P1.C07	17	8	b	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.C07	18	42	li	M	Contextual 1640 supplement; no matched-control S claim; see key-1640-evidence.tsv
P1.C07	19	ip	ci	M	Contextual 1640 supplement; no matched-control S claim; see key-1640-evidence.tsv
P1.C07	20	m	e	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.C07	21	37	t	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.C07	22	p	e	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.C07	23	pli	ti	M	Contextual 1640 supplement; no matched-control S claim; see key-1640-evidence.tsv
P1.C08	1	o	a	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.C08	2	b	m	M	Contextual 1640 supplement; no matched-control S claim; see key-1640-evidence.tsv
P1.C08	3	ko	do	M	Contextual 1640 supplement; no matched-control S claim; see key-1640-evidence.tsv
P1.C08	4	cu	mu	M	Contextual 1640 supplement; no matched-control S claim; see key-1640-evidence.tsv
P1.C08	5	26	s	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.C08	6	32	n	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.C08	7	21	o	M	Contextual 1640 supplement; no matched-control S claim; see key-1640-evidence.tsv
P1.C08	8	26	s	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.C08	9	34	t	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.C08	10	c	r	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.C08	11	z	a	I	Image/context-assisted source-label amendment; see R1890-review.tsv
P1.C08	12	m	e	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.C08	13	y	u	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.C08	14	p	e	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.C08	15	51	re	M	Contextual 1640 supplement; no matched-control S claim; see key-1640-evidence.tsv
P1.C08	16	n	a	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.C08	17	cu	mu	M	Contextual 1640 supplement; no matched-control S claim; see key-1640-evidence.tsv
P1.C08	18	q	r	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.C08	19	24	i	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.C08	20	22	n	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.C08	21	op	co	M	Contextual 1640 supplement; no matched-control S claim; see key-1640-evidence.tsv
P1.C08	22	e	m	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.C08	23	co	mo	M	Contextual 1640 supplement; no matched-control S claim; see key-1640-evidence.tsv
P1.C09	1	ha	da	M	Contextual 1640 supplement; no matched-control S claim; see key-1640-evidence.tsv
P1.C09	2	en	se	M	Contextual 1640 supplement; no matched-control S claim; see key-1640-evidence.tsv
P1.C09	3	up	cu	M	Contextual 1640 supplement; no matched-control S claim; see key-1640-evidence.tsv
P1.C09	4	e	m	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.C09	5	mu	fu	M	Contextual 1640 supplement; no matched-control S claim; see key-1640-evidence.tsv
P1.C09	6	in	si	M	Contextual 1640 supplement; no matched-control S claim; see key-1640-evidence.tsv
P1.C09	7	38	u	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.C09	8	26	s	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.C09	9	op	co	M	Contextual 1640 supplement; no matched-control S claim; see key-1640-evidence.tsv
P1.C09	10	32	n	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.C09	11	plu	tu	I	Image/context-assisted source-label amendment; see R1890-review.tsv
P1.C09	12	42	li	M	Contextual 1640 supplement; no matched-control S claim; see key-1640-evidence.tsv
P1.C09	13	cu	mu	M	Contextual 1640 supplement; no matched-control S claim; see key-1640-evidence.tsv
P1.C09	14	26	s	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.C10	1	up	cu	M	Contextual 1640 supplement; no matched-control S claim; see key-1640-evidence.tsv
P1.C10	2	d	m	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.C10	3	12	i	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.C10	4	17	g	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.C10	5	24	i	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.C10	6	plu	tu	M	Contextual 1640 supplement; no matched-control S claim; see key-1640-evidence.tsv
P1.C10	7	t	a	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.C10	8	15	i	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.C10	9	19	l	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.C10	10	44	lu	M	Contextual 1640 supplement; no matched-control S claim; see key-1640-evidence.tsv
P1.C10	11	4	d	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.C10	12	46	ne	M	Contextual 1640 supplement; no matched-control S claim; see key-1640-evidence.tsv
P1.C10	13	ot	go	M	Contextual 1640 supplement; no matched-control S claim; see key-1640-evidence.tsv
P1.C10	14	pli	ti	M	Contextual 1640 supplement; no matched-control S claim; see key-1640-evidence.tsv
P1.C10	15	y	u	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.C10	16	d	m	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.C10	17	ep	ce	M	Contextual 1640 supplement; no matched-control S claim; see key-1640-evidence.tsv
P1.C10	18	41	le	M	Contextual 1640 supplement; no matched-control S claim; see key-1640-evidence.tsv
P1.C10	19	52	ri	M	Contextual 1640 supplement; no matched-control S claim; see key-1640-evidence.tsv
P1.C10	20	51	re	M	Contextual 1640 supplement; no matched-control S claim; see key-1640-evidence.tsv
P1.C11	1	ce	me	M	Contextual 1640 supplement; no matched-control S claim; see key-1640-evidence.tsv
P1.C11	2	hi	di	M	Contextual 1640 supplement; no matched-control S claim; see key-1640-evidence.tsv
P1.C11	3	f	o	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.C11	4	12	i	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.C11	5	22	n	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.C11	6	hi	di	M	Contextual 1640 supplement; no matched-control S claim; see key-1640-evidence.tsv
P1.C11	7	et	ge	M	Contextual 1640 supplement; no matched-control S claim; see key-1640-evidence.tsv
P1.C11	8	t	a	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.C11	9	34	t	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.C11	10	32	n	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.C11	11	m	e	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.C11	12	30	q	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.C11	13	35	u	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.C11	14	p	e	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.C11	15	t	a	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.C11	16	42	li	M	Contextual 1640 supplement; no matched-control S claim; see key-1640-evidence.tsv
P1.C11	17	23	u	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.C11	18	25	s	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.C11	19	g	p	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.C11	20	53	ro	M	Contextual 1640 supplement; no matched-control S claim; see key-1640-evidence.tsv
P1.C11	21	m	e	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.C11	22	f	o	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.C12	1	lx	oc	M	Contextual 1640 supplement; no matched-control S claim; see key-1640-evidence.tsv
P1.C12	2	up	cu	M	Contextual 1640 supplement; no matched-control S claim; see key-1640-evidence.tsv
P1.C12	3	c	r	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.C12	4	q	r	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.C12	5	t	a	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.C12	6	37	t	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.C12	7	co	mo	M	Contextual 1640 supplement; no matched-control S claim; see key-1640-evidence.tsv
P1.C12	8	hu	du	M	Contextual 1640 supplement; no matched-control S claim; see key-1640-evidence.tsv
P1.C12	9	25	s	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.C12	10	30	q	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.C12	11	35	u	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.C12	12	t	a	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.C12	13	b	m	M	Contextual 1640 supplement; no matched-control S claim; see key-1640-evidence.tsv
P1.C12	14	23	u	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.C12	15	37	t	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.C12	16	m	e	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.C12	17	34	t	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.C12	18	48	no	M	Contextual 1640 supplement; no matched-control S claim; see key-1640-evidence.tsv
P1.C12	19	26	s	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.C12	20	me	fe	M	Contextual 1640 supplement; no matched-control S claim; see key-1640-evidence.tsv
P1.C12	21	25	s	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.C13	1	pli	ti	M	Contextual 1640 supplement; no matched-control S claim; see key-1640-evidence.tsv
P1.C13	2	45	na	M	Contextual 1640 supplement; no matched-control S claim; see key-1640-evidence.tsv
P1.C13	3	32	n	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.C13	4	ple	te	M	Contextual 1640 supplement; no matched-control S claim; see key-1640-evidence.tsv
P1.C13	5	c	r	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.C13	6	op	co	M	Contextual 1640 supplement; no matched-control S claim; see key-1640-evidence.tsv
P1.C13	7	18	l	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.C13	8	41	le	M	Contextual 1640 supplement; no matched-control S claim; see key-1640-evidence.tsv
P1.C13	9	x	c	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.C13	10	pli	ti	M	Contextual 1640 supplement; no matched-control S claim; see key-1640-evidence.tsv
P1.C13	11	21	o	M	Contextual 1640 supplement; no matched-control S claim; see key-1640-evidence.tsv
P1.C13	12	46	ne	M	Contextual 1640 supplement; no matched-control S claim; see key-1640-evidence.tsv
P1.C13	13	e	m	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.C13	14	ci	mi	M	Contextual 1640 supplement; no matched-control S claim; see key-1640-evidence.tsv
P1.C13	15	42	li	M	Contextual 1640 supplement; no matched-control S claim; see key-1640-evidence.tsv
P1.C13	16	pli	ti	M	Contextual 1640 supplement; no matched-control S claim; see key-1640-evidence.tsv
P1.C13	17	25	s	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.C13	18	30	q	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.C13	19	23	u	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.C13	20	11	i	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.C14	1	15	i	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.C14	2	32	n	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.C14	3	ou	po	M	Contextual 1640 supplement; no matched-control S claim; see key-1640-evidence.tsv
P1.C14	4	ple	te	M	Contextual 1640 supplement; no matched-control S claim; see key-1640-evidence.tsv
P1.C14	5	22	n	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.C14	6	pli	ti	M	Contextual 1640 supplement; no matched-control S claim; see key-1640-evidence.tsv
P1.C14	7	f	o	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.C14	8	51	re	M	Contextual 1640 supplement; no matched-control S claim; see key-1640-evidence.tsv
P1.C14	9	e	m	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.C14	10	49	nu	M	Contextual 1640 supplement; no matched-control S claim; see key-1640-evidence.tsv
P1.C14	11	ce	me	M	Contextual 1640 supplement; no matched-control S claim; see key-1640-evidence.tsv
P1.C14	12	54	ru	M	Contextual 1640 supplement; no matched-control S claim; see key-1640-evidence.tsv
P1.C14	13	e	m	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.C14	14	33	q	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.C14	15	y	u	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.C14	16	t	a	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.C14	17	b	m	M	Contextual 1640 supplement; no matched-control S claim; see key-1640-evidence.tsv
P1.C14	18	hi	di	M	Contextual 1640 supplement; no matched-control S claim; see key-1640-evidence.tsv
P1.C14	19	x	c	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.C14	20	plu	tu	M	Contextual 1640 supplement; no matched-control S claim; see key-1640-evidence.tsv
P1.C14	21	26	s	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.C15	1	o	a	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.C15	2	g	p	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.C15	3	au	pa	M	Contextual 1640 supplement; no matched-control S claim; see key-1640-evidence.tsv
P1.C15	4	50	ra	M	Contextual 1640 supplement; no matched-control S claim; see key-1640-evidence.tsv
P1.C15	5	plu	tu	M	Contextual 1640 supplement; no matched-control S claim; see key-1640-evidence.tsv
P1.C15	6	31	s	C	Value from R954/R1889 known-plaintext alignment; see key-evidence.tsv
P1.C15	7	en	se	M	Contextual 1640 supplement; no matched-control S claim; see key-1640-evidence.tsv
