id	cipher	literal	grade	basis
s1t028	43	in	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s1t029	ir	fi	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s1t030	he	de	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s1t031	F	m	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s1t032	X	a	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s1t033	N	c	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s1t034	xur	tu	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s1t035	xer	te	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s1t036	pan	la	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s1t037	Q4	m	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s1t038	G9	i	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s1t039	DB	p	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s1t040	tis	si	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s1t041	uc	us	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s1t042	tes	se	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s1t043	for	co	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s1t044	T	n	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s1t045	9	e	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s1t046	A	i	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s1t047	9	e	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s1t048	fer	ce	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s1t049	tun	ru	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s1t050	tin	ri	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s1t051	T	n	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s1t052	8	t	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s1t053	DB	p	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s1t054	M	r	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s1t055	43	in	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s1t056	fir	ci	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s1t057	48	pi	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s1t058	sul	bu	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s1t059	Zx	s	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s1t060	43	in	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s1t061	DB	p	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s1t062	M	r	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s1t063	A	i	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s1t064	ib	mi	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s1t065	Zx	s	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s1t066	^9Z	u	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s1t067	A	i	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s1t068	^x4		M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s1t069	M	r	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s1t070	xer	te	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s1t071	^xF		M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s1t072	T	n	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s1t073	sed	be	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s1t074	M	r	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s1t075	lis	gi	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s1t076	for	co	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s1t077	9	e	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s1t078	S	t	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s1t079	hu	du	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s1t080	16	r	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s1t081	pan	la	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s1t082	fer	ce	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s1t083	p	n	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s1t084	tis	si	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s1t085	DB	p	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s1t086	M	r	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s1t087	Yx	o	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s1t088	ur	fu	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s1t089	xur	tu	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s1t090	ton	ro	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s1t091	#	s	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s1t092	9	e	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s1t093	tes	se	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s1t094	N	c	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s1t095	16	r	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s1t096	9	e	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s1t097	hi	di	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s1t098	he	de	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s1t099	tin	ri	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s1t100	S	t	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s1t101	43	in	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s1t102	xer	te	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s1t103	M	r	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s1t104	ib	mi	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s1t105	tus	su	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s1t106	tin	ri	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s1t107	F	m	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s1t108	9	e	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s1t109	R	q	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s1t110	Z	u	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s1t111	p	n	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s1t112	T	n	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s1t113	xur	tu	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s1t114	#	s	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s1t115	10	u	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s1t116	9	e	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s1t117	ton	ro	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s1t118	43	in	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s1t119	he	de	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s1t120	N	c	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s1t121	M	r	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s1t122	A	i	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s1t123	45	s	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s1t124	hu	du	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s1t125	#	s	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s1t126	odl	no	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s1t127	T	n	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s1t128	ib	mi	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s1t129	od	no	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s1t130	ten	re	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s1t131	4	s	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s1t132	Pb	e	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s1t133	ob	mo	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s1t134	pun	lu	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s1t135	eb	me	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s1t136	p	n	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s1t137	xir	ti	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s1t138	Z	u	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s1t139	9	e	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s1t140	J	l	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s1t141	he	de	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s1t142	S	t	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s1t143	M	r	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s1t144	A	i	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s1t145	eb	me	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s1t146	p	n	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s1t147	xir	ti	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s1t148	ten	re	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s1t149	sul	bu	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s1t150	#	s	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s1t151	hi	di	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s1t152	pen	le	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s1t153	^9N	ct	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s1t154	A	i	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s1t155	y	o	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s1t156	ed	ne	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s1t157	#	s	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s1t158	Z	u	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s1t159	9	e	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s1t160	#	s	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s1t161	S	t	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s1t162	M	r	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s1t163	9	e	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s1t164	3	q	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s1t165	Z	u	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s1t166	X	a	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s1t167	4	s	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s1t168	eb	me	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s1t169	ic	is	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s1t170	146	pa	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s1t171	M	r	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s1t172	xer	te	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s1t173	4	s	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s1t174	tis	si	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s1t175	S	t	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s1t176	X	a	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s1t177	^9/13	ll	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s1t178	X	a	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s1t179	xur	tu	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s1t180	fun	ru	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s1t181	#	s	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s1t182	A	i	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s1t183	he	de	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s1t184	y	o	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s1t185	fur	cu	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s1t186	F	m	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s1t187	3	q	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s1t188	10	u	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s1t189	X	a	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s1t190	Z	u	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s1t191	xur	tu	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s1t192	F	m	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s1t193	43	in	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s1t194	eb	me	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s1t195	ec	es	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s1t196	S	t	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s1t197	tus	su	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s1t198	10	u	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s1t199	8	t	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s1t200	10	u	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s1t201	9	e	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s1t202	M	r	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s1t203	xer	te	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s1t204	T	n	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s1t205	hi	di	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s1t205a	#	s	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s1t206	G	h	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s1t207	ic	is	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s1t208	fer	ce	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s1t209	for	co	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s1t210	ub	mu	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s1t211	^9T	n	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s1t212	A	i	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s1t213	45	s	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s1t214	od	no	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s1t215	#	s	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s1t216	S	t	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s1t217	M	r	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s1t218	9	e	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s1t219	ho	do	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s1t220	ub	mu	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s1t221	Zx	s	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s1t222	gam	h	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s1t223	oc	os	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s1t224	xir	ti	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s1t225	Z	u	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s1t226	F	m	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s1t227	for	co	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s1t228	T	n	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s1t229	^xad		M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s1t230	X	a	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s1t231	xir	ti	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s1t232	sul	bu	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s1t233	#	s	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s1t234	43	in	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s1t235	xer	te	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s1t236	T	n	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s1t237	hes	ge	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s1t238	ten	re	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s1t239	od	no	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s1t240	p	n	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s1t241	he	de	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s1t242	tis	si	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s1t243	ad	na	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s1t244	F	m	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s2t000	10	u	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s2t001	Ft	t	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s2t002	eb	me	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s2t003	hi	di	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s2t004	41	an	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s2t005	xer	te	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s2t006	X	a	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s2t007	pin	li	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s2t008	5	q	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s2t009	Z	u	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
s2t010	y	o	M	Contextual reconstruction or unresolved sign; source alternatives in alignment.tsv; no S claim
