symbol	plain	selection_context	all_reviewed_occurrences	status
ha	da	P1.C09 incommoda; P1.C15 extendat; P2.C10 mandatum	P1.C09:1;P1.C15:12;P2.C04:2;P2.C10:20;P2.C12:14	contextual, corroborated in same letter
he	de	P1.C26 denuo; P2.C04 fidem; P2.C05 desideratos	P1.C07:1;P1.C17:13;P1.C24:7;P1.C24:11;P1.C26:17;P2.C04:5;P2.C04:15;P2.C05:7;P2.C05:9;P2.C07:13	contextual, corroborated in same letter
hi	di	P1.C26 dilectione; P2.C02 praedictus; P2.C03 distinctius	P1.C01:7;P1.C07:10;P1.C11:2;P1.C11:6;P1.C14:18;P1.C17:3;P1.C19:21;P1.C21:5;P1.C26:6;P2.C02:7;P2.C03:1;P2.C07:2;P2.C11:19	contextual, corroborated in same letter
hu	du	P1.C12 modus	P1.C12:8	provisional singleton
an	sa	P1.C25 necessariis; P2.C08 commissariorum	P1.C25:17;P2.C08:8	contextual, corroborated in same letter
en	se	P1.C02 serenissimi; P1.C09 secum; P1.C17 seruare	P1.C02:1;P1.C09:2;P1.C15:7;P1.C17:15;P1.C21:8;P2.C09:1	contextual, corroborated in same letter
in	si	P1.C16 si; P2.C02 sibi; P2.C04 considerata	P1.C02:5;P1.C09:6;P1.C16:14;P1.C17:6;P2.C02:1;P2.C03:12;P2.C04:14;P2.C05:8;P2.C12:3;P2.C12:19	contextual, corroborated in same letter
un	su	P1.C19 subiiciatur; P1.C25 sumptibus; P2.C10 expressum	P1.C19:11;P1.C25:8;P2.C10:16	contextual, corroborated in same letter
tes	be	P1.C16-17 liberam; P1.C24 debeat; P2.C04 habere	P1.C16:20;P1.C24:8;P2.C04:8	contextual, corroborated in same letter
tis	bi	P1.C19 arbitrio; P1.C25 nobis; P2.C02 sibi	P1.C01:5;P1.C17:12;P1.C19:7;P1.C25:2;P2.C02:2;P2.C07:12	contextual, corroborated in same letter
tos	bo	P1.C07 boni	P1.C07:14	provisional singleton
tus	bu	P1.C05 statibus; P1.C16 partibus; P2.C08 quibus	P1.C05:16;P1.C16:4;P1.C24:17;P1.C25:12;P2.C08:16	contextual, corroborated in same letter
au	pa	P1.C03 apparatum; P1.C15 apparatus; P1.C16 partibus	P1.C03:19;P1.C15:3;P1.C16:1	contextual, corroborated in same letter
eu	pe	P1.C22 operi; P1.C26 petimus; P2.C01 perinstanter	P1.C22:19;P1.C26:1;P2.C01:1;P2.C12:12	contextual, corroborated in same letter
ou	po	P1.C14 potentiorem; P1.C17 dispositionem; P2.C03 expositurus	P1.C14:3;P1.C17:5;P1.C23:8;P2.C03:11	contextual, corroborated in same letter
uu	pu	P1.C07 publici	P1.C07:16	provisional singleton
me	fe	P1.C12-13 festinanter; P1.C21 confestim; P1.C22 transferre	P1.C12:20;P1.C21:3;P1.C21:11;P1.C22:5;P2.C11:17	contextual, corroborated in same letter
mi	fi	P1.C24 deficientibus; P2.C04 fidem	P1.C24:12;P2.C04:4	contextual, corroborated in same letter
mu	fu	P1.C09 fusius	P1.C09:5	provisional singleton
ga	ha	P2.C02 hac; P2.C04 habere; P2.C05 hactenus; P1.C04 Westphalico after glyph review	P1.C04:16;P1.C21:1;P2.C02:17;P2.C04:7;P2.C05:13;P2.C11:15	contextual, corroborated in same letter
gi	hi	P1.C02 marchio	P1.C02:17	provisional singleton
it	gi	P1.C02 regis; P2.C09 iniungimus	P1.C02:8;P2.C09:7	contextual, corroborated in same letter
ot	go	P1.C10 negotium	P1.C10:13	provisional singleton
et	ge	P1.C11 indigeat	P1.C11:7	provisional singleton
ko	do	P1.C08 domus	P1.C08:3	provisional singleton
fu	mu	P1.C01 comunicabit (single m retained; mmu cannot be excluded from this occurrence alone)	P1.C01:2	provisional singleton
lx	oc	P1.C12 occurrat (source group lx retained; singleton, provisional)	P1.C12:1	provisional singleton
li	xi	P2.C07-08 existentium (source group li retained; singleton, provisional)	P2.C07:16	provisional singleton
b	m	P1.C08 etiam; P1.C12 quam; P1.C14 quam; distinct source label from disputed 6	P1.C08:2;P1.C12:13;P1.C14:17	contextual, corroborated in same letter
